	z-dna_slop100>slop_#	z-dna_slop200>slop100_#	z-dna_slop100>slop_%	z-dna_slop200>slop100_%	quadruplex_slop100>slop_#	quadruplex_slop200>slop100_#	quadruplex_slop100>slop_%	quadruplex_slop200>slop100_%	sidd_slop100>slop_#	sidd_slop200>slop100_#	sidd_slop100>slop_%	sidd_slop200>slop100_%	h-dna_slop100>slop_#	h-dna_slop200>slop100_#	h-dna_slop100>slop_%	h-dna_slop200>slop100_%
0	205	245	0.818069356319087	0.9776926453569577	256	256	1.2640102700834444	1.2640102700834444	201	149	1.3140690376569037	0.9741108786610879	294	257	1.719298245614035	1.5029239766081872
1	171	212	0.6823895606368969	0.8460034319007144	237	185	1.1701970078506887	0.913444921739989	248	138	1.6213389121338913	0.9021966527196652	138	192	0.8070175438596492	1.1228070175438596
2	261	346	1.041541960972106	1.380741450177581	241	268	1.1899471683207425	1.323260751493606	215	240	1.4055962343096233	1.5690376569037656	234	278	1.368421052631579	1.6257309941520466
3	195	279	0.7781635340596194	1.1133724410391475	272	578	1.3430109119636597	2.853898187922777	302	712	1.9743723849372385	4.654811715481171	186	351	1.087719298245614	2.0526315789473686
4	245	302	0.9776926453569577	1.2051558322359233	332	363	1.6392633190144672	1.792327062657384	253	217	1.6540271966527198	1.4186715481171548	160	226	0.9356725146198831	1.3216374269005848
5	636	674	2.538010295702143	2.68965242028812	545	535	2.690959364044833	2.6415839628696984	198	324	1.2944560669456067	2.1182008368200838	201	279	1.1754385964912282	1.631578947368421
6	81	124	0.32323716030168803	0.4948321960173989	57	92	0.28143978669826697	0.45425369081123784	105	83	0.6864539748953975	0.5426255230125523	36	82	0.21052631578947367	0.47953216374269003
7	494	562	1.9713476196177022	2.2427072109820823	264	355	1.303510591023552	1.7528267417172765	248	261	1.6213389121338913	1.706328451882845	163	225	0.9532163742690059	1.3157894736842104
8	281	317	1.1213536054910411	1.2650145656251248	315	272	1.5553251370167382	1.3430109119636597	233	169	1.5232740585774058	1.1048640167364017	301	283	1.760233918128655	1.6549707602339183
9	169	165	0.6744083961850034	0.6584460672812164	114	150	0.5628795733965339	0.7406310176270182	140	130	0.9152719665271967	0.8498953974895397	91	135	0.5321637426900585	0.7894736842105263
10	652	638	2.601859611317291	2.5459914601540365	443	391	2.1873302720584604	1.9305781859477609	276	197	1.8043933054393304	1.287918410041841	188	243	1.0994152046783625	1.4210526315789473
11	489	264	1.9513947084879684	1.0535137076499461	143	157	0.7060682368044241	0.7751937984496124	137	111	0.8956589958158996	0.7256799163179917	69	138	0.4035087719298246	0.8070175438596492
12	35	29	0.1396703779081368	0.1157268845524562	24	34	0.11850096282032291	0.16787636399545747	14	13	0.09152719665271966	0.08498953974895398	11	7	0.06432748538011696	0.04093567251461988
13	359	390	1.4326190191148889	1.5563270681192387	309	364	1.5256998963116575	1.7972646027748975	325	418	2.124738493723849	2.7327405857740588	209	323	1.2222222222222223	1.8888888888888888
14	501	606	1.9992816951993297	2.41829282892374	549	718	2.7107095245148867	3.5451538043746607	311	371	2.0332112970711296	2.4254707112970713	299	412	1.7485380116959066	2.409356725146199
15	432	556	1.7239315216090025	2.218763717626402	999	629	4.932602577395941	3.105712733915963	599	896	3.9160564853556483	5.857740585774058	351	581	2.0526315789473686	3.39766081871345
16	134	224	0.5347380182768666	0.8938904186120755	76	140	0.37525304893102257	0.6912556164518836	129	120	0.8433577405857741	0.7845188284518828	79	117	0.4619883040935672	0.6842105263157895
17	483	521	1.9274512151322878	2.079093339718265	300	296	1.4812620352540364	1.4615118747839826	373	343	2.4385460251046025	2.2424163179916317	223	313	1.304093567251462	1.8304093567251463
18	191	176	0.7622012051558322	0.7023424717666308	189	130	0.933195082210043	0.6418802152767491	51	39	0.3334205020920502	0.2549686192468619	93	76	0.543859649122807	0.4444444444444444
19	214	173	0.8539845963526079	0.6903707250887905	63	130	0.3110650274033476	0.6418802152767491	138	155	0.9021966527196652	1.0133368200836819	75	172	0.43859649122807015	1.0058479532163742
20	798	718	3.184484616305519	2.8652380382297777	480	548	2.370019256406458	2.7057719843973733	365	342	2.386244769874477	2.2358786610878663	308	368	1.801169590643275	2.1520467836257313
21	73	115	0.2913125024941139	0.458916955983878	65	150	0.32094010763837455	0.7406310176270182	168	180	1.0983263598326358	1.1767782426778242	88	162	0.5146198830409356	0.9473684210526316
22	877	716	3.4997406121553136	2.8572568737778843	89	137	0.43944107045869746	0.6764429960993433	122	105	0.7975941422594143	0.6864539748953975	100	85	0.5847953216374269	0.4970760233918129
23	142	200	0.5666626760844408	0.7981164451893532	107	185	0.5283167925739397	0.913444921739989	238	233	1.5559623430962344	1.5232740585774058	123	184	0.7192982456140351	1.0760233918128657
24	78	106	0.31126541362384774	0.4230017159503572	43	77	0.21231422505307856	0.38019058904853603	58	63	0.37918410041841005	0.41187238493723854	48	74	0.2807017543859649	0.43274853801169594
25	135	207	0.5387286005028133	0.8260505207709805	257	152	1.268947810200958	0.7505060978620451	235	187	1.536349372384937	1.2225418410041842	120	164	0.7017543859649122	0.9590643274853801
26	61	60	0.24342551578275268	0.23943493355680595	35	45	0.1728139041129709	0.22218930528810546	18	26	0.11767782426778244	0.16997907949790797	22	26	0.1286549707602339	0.15204678362573099
27	365	427	1.4565625124705694	1.703978610479269	221	322	1.0911963659704735	1.5898879178393326	216	329	1.4121338912133892	2.150889121338912	136	230	0.7953216374269005	1.345029239766082
28	504	530	2.01125344187717	2.1150085797517857	410	510	2.0243914481805163	2.518145459931862	454	484	2.9680962343096233	3.1642259414225946	429	418	2.508771929824561	2.4444444444444446
29	173	254	0.6903707250887905	1.0136078853904784	210	340	1.0368834246778253	1.6787636399545744	229	383	1.4971234309623431	2.5039225941422596	137	278	0.801169590643275	1.6257309941520466
30	153	213	0.6105590805698552	0.8499940141266611	128	162	0.6320051350417222	0.7998814990371796	174	147	1.1375523012552302	0.9610355648535565	93	145	0.543859649122807	0.8479532163742689
31	237	194	0.9457679875493834	0.7741729518336725	112	175	0.5530044931615069	0.8640695205648545	165	240	1.078713389121339	1.5690376569037656	100	172	0.5847953216374269	1.0058479532163742
32	742	1062	2.9610120116525	4.237998323955465	556	621	2.745272305337481	3.0662124129758555	364	547	2.3797071129707112	3.5760983263598325	425	499	2.4853801169590644	2.91812865497076
33	78	84	0.31126541362384774	0.3352089069795283	33	40	0.162938823877944	0.19750160470053818	10	16	0.0653765690376569	0.10460251046025104	19	10	0.1111111111111111	0.058479532163742694
34	108	120	0.43098288040225063	0.4788698671136119	88	140	0.43450353034118405	0.6912556164518836	153	97	1.0002615062761506	0.634152719665272	67	100	0.391812865497076	0.5847953216374269
35	169	184	0.6744083961850034	0.7342671295742049	131	165	0.6468177553942626	0.81469411938972	117	122	0.7649058577405857	0.7975941422594143	109	126	0.6374269005847953	0.7368421052631579
36	317	280	1.2650145656251248	1.1173630232650944	214	201	1.0566335851478794	0.9924455636202044	147	172	0.9610355648535565	1.1244769874476988	86	129	0.5029239766081871	0.7543859649122807
37	191	200	0.7622012051558322	0.7981164451893532	210	168	1.0368834246778253	0.8295067397422603	199	125	1.3009937238493725	0.8172071129707112	87	143	0.5087719298245614	0.8362573099415205
38	103	107	0.41102996927251684	0.42699229817630396	60	96	0.29625240705080724	0.47400385128129163	138	125	0.9021966527196652	0.8172071129707112	74	114	0.43274853801169594	0.6666666666666667
39	421	219	1.6800351171235886	0.8739375074823417	129	200	0.6369426751592357	0.987508023502691	226	229	1.477510460251046	1.4971234309623431	139	207	0.8128654970760233	1.2105263157894737
40	730	773	2.913125024941139	3.0847200606568497	610	620	3.0118994716832077	3.061274872858342	220	223	1.4382845188284519	1.457897489539749	208	252	1.2163742690058479	1.4736842105263157
41	89	118	0.3551618181092621	0.47088870266171834	69	115	0.3406902681084284	0.5678171135140473	130	136	0.8498953974895397	0.889121338912134	87	132	0.5087719298245614	0.7719298245614036
42	216	284	0.8619657608045013	1.1333253521688815	180	280	0.8887572211524218	1.3825112329037672	246	264	1.6082635983263598	1.7259414225941423	124	266	0.7251461988304094	1.5555555555555556
43	776	235	3.09669180733469	0.93778682309749	136	167	0.6715054559818299	0.824569199624747	177	192	1.157165271966527	1.2552301255230125	129	233	0.7543859649122807	1.3625730994152045
44	354	325	1.412666107985155	1.2969392234326989	252	218	1.2442601096133905	1.0763837456179333	309	200	2.0201359832635983	1.307531380753138	154	177	0.9005847953216375	1.0350877192982455
45	468	463	1.8675924817430862	1.8476395706133526	290	334	1.4318866340789018	1.649138399249494	348	355	2.2751046025104604	2.32086820083682	187	358	1.0935672514619883	2.0935672514619883
46	206	250	0.8220599385450337	0.9976455564866914	80	162	0.39500320940107636	0.7998814990371796	100	97	0.653765690376569	0.634152719665272	86	116	0.5029239766081871	0.6783625730994152
47	126	214	0.5028133604692925	0.8539845963526079	99	122	0.4888164716338321	0.6023798943366415	172	152	1.1244769874476988	0.9937238493723849	96	138	0.5614035087719298	0.8070175438596492
48	124	527	0.4948321960173989	2.1030368330739453	82	205	0.4048782896361033	1.0121957240902582	197	225	1.287918410041841	1.4709728033472802	180	204	1.0526315789473684	1.1929824561403508
49	719	663	2.8692286204557242	2.6457560158027054	454	555	2.2416432133511086	2.740334765219967	255	336	1.667102510460251	2.1966527196652716	178	244	1.0409356725146197	1.4269005847953216
50	852	943	3.3999760565066444	3.7631190390677998	757	930	3.7377178689576853	4.591912309287513	775	791	5.06668410041841	5.171286610878661	451	731	2.6374269005847952	4.2748538011695905
51	203	203	0.8100881918671934	0.8100881918671934	144	223	0.7110057769219376	1.1010714462055005	196	215	1.2813807531380754	1.4055962343096233	176	275	1.0292397660818713	1.608187134502924
52	528	652	2.1070274152998922	2.601859611317291	1228	391	6.063299264306522	1.9305781859477609	1403	406	9.172332635983263	2.6542887029288704	323	633	1.8888888888888888	3.7017543859649122
53	257	313	1.0255796320683188	1.2490522367213377	202	241	0.9973831037377179	1.1899471683207425	217	351	1.4186715481171548	2.294717573221757	330	277	1.9298245614035088	1.6198830409356726
54	114	132	0.4549263737579313	0.5267568538249731	81	144	0.3999407495185898	0.7110057769219376	152	174	0.9937238493723849	1.1375523012552302	113	134	0.6608187134502924	0.783625730994152
55	195	289	0.7781635340596194	1.1532782632986154	171	239	0.8443193600948008	1.1800720880857156	220	313	1.4382845188284519	2.0462866108786613	167	238	0.9766081871345028	1.391812865497076
56	343	276	1.3687697034997406	1.1014006943613073	175	216	0.8640695205648545	1.0665086653829063	172	187	1.1244769874476988	1.2225418410041842	132	175	0.7719298245614036	1.023391812865497
57	356	329	1.4206472724370485	1.312901552336486	207	184	1.022070804325285	0.9085073816224757	38	35	0.24843096234309622	0.22881799163179917	40	62	0.23391812865497078	0.3625730994152047
58	313	309	1.2490522367213377	1.2330899078175506	253	251	1.249197649730904	1.2393225694958772	199	148	1.3009937238493725	0.9675732217573221	108	177	0.631578947368421	1.0350877192982455
59	78	133	0.31126541362384774	0.5307474360509199	71	103	0.35056534834345526	0.5085666321038859	124	141	0.8106694560669456	0.9218096234309624	71	138	0.4152046783625731	0.8070175438596492
60	510	461	2.0351969352328503	1.839658406161459	112	143	0.5530044931615069	0.7060682368044241	262	228	1.712866108786611	1.4905857740585775	133	223	0.7777777777777778	1.304093567251462
61	98	145	0.39107705814278304	0.578634422762281	163	115	0.804819039154693	0.5678171135140473	104	235	0.6799163179916319	1.536349372384937	83	154	0.4853801169590643	0.9005847953216375
62	116	126	0.4629075382098248	0.5028133604692925	104	154	0.5135041722213993	0.7603811780970721	94	161	0.6145397489539749	1.0525627615062763	94	137	0.5497076023391813	0.801169590643275
63	423	567	1.6880162815754818	2.262660122111816	719	494	3.550091344492174	2.4391448180516466	845	453	5.524320083682008	2.961558577405858	268	490	1.567251461988304	2.865497076023392
64	130	155	0.5187756893730795	0.6185402450217486	262	271	1.2936355107885251	1.3380733718461464	187	250	1.2225418410041842	1.6344142259414225	148	209	0.8654970760233919	1.2222222222222223
65	302	467	1.2051558322359233	1.8636018995171395	2195	503	10.837900557942033	2.483582679109268	428	463	2.7981171548117154	3.0269351464435146	1122	523	6.561403508771931	3.0584795321637426
66	295	762	1.1772217566542957	3.0408236561714355	599	878	2.9575865303905595	4.335160223176813	359	381	2.347018828451883	2.4908472803347284	1032	693	6.035087719298246	4.052631578947368
67	243	306	0.9697114809050641	1.2211181611397104	274	294	1.3528859921986867	1.4516367945489557	318	346	2.0789748953974896	2.2620292887029287	273	310	1.5964912280701755	1.8128654970760234
68	30	46	0.11971746677840298	0.18356678239355123	23	34	0.11356342270280946	0.16787636399545747	15	18	0.09806485355648535	0.11767782426778244	14	14	0.08187134502923976	0.08187134502923976
69	222	249	0.885909254160182	0.9936549742607447	164	221	0.8097565792722066	1.0911963659704735	235	234	1.536349372384937	1.5298117154811715	270	239	1.5789473684210527	1.3976608187134503
70	509	444	2.0312063530069038	1.771818508320364	206	328	1.0171332642077717	1.6195131585444131	295	291	1.9286087866108785	1.9024581589958158	224	326	1.3099415204678362	1.9064327485380117
71	120	185	0.4788698671136119	0.7382577118001517	300	1017	1.4812620352540364	5.021478299511183	126	1721	0.8237447698744771	11.251307531380753	102	258	0.5964912280701754	1.5087719298245614
72	181	233	0.7222953828963646	0.9298056586455964	152	229	0.7505060978620451	1.1306966869105812	149	149	0.9741108786610879	0.9741108786610879	128	169	0.7485380116959065	0.9883040935672515
73	180	240	0.7183048006704178	0.9577397342272238	109	217	0.5381918728089666	1.0714462055004197	157	156	1.0264121338912133	1.0198744769874477	102	166	0.5964912280701754	0.9707602339181286
74	338	353	1.3488167923700067	1.4086755257592083	293	341	1.4466992544314423	1.683701180072088	254	279	1.6605648535564854	1.8240062761506275	174	253	1.0175438596491229	1.4795321637426901
75	863	807	3.443872460992059	3.22039985633904	688	753	3.397027600849257	3.7179677084876315	600	587	3.922594142259414	3.8376046025104604	429	552	2.508771929824561	3.2280701754385968
76	138	145	0.5507003471806536	0.578634422762281	80	120	0.39500320940107636	0.5925048141016145	169	140	1.1048640167364017	0.9152719665271967	97	154	0.5672514619883041	0.9005847953216375
77	159	144	0.6345025739255358	0.5746438405363342	119	134	0.5875672739841011	0.661630375746803	58	42	0.37918410041841005	0.27458158995815896	35	47	0.20467836257309943	0.27485380116959063
78	125	123	0.4988227782433457	0.49084161379145214	99	174	0.4888164716338321	0.8591319804473412	106	149	0.6929916317991631	0.9741108786610879	93	131	0.543859649122807	0.7660818713450293
79	774	819	3.0887106428827966	3.2682868430504013	702	660	3.4661531624944453	3.25877647755888	502	271	3.2819037656903762	1.7717050209205019	481	491	2.8128654970760234	2.871345029239766
80	197	218	0.7861446985115128	0.8699469252563948	111	210	0.5480669530439934	1.0368834246778253	211	254	1.3794456066945606	1.6605648535564854	126	201	0.7368421052631579	1.1754385964912282
81	147	161	0.5866155872141745	0.6424837383774293	103	155	0.5085666321038859	0.7653187182145855	143	145	0.9348849372384936	0.9479602510460251	108	172	0.631578947368421	1.0058479532163742
82	518	417	2.0671215930404245	1.6640727882198014	438	465	2.1626425714708932	2.2959561546437564	339	303	2.216265690376569	1.9809100418410042	247	288	1.4444444444444444	1.6842105263157894
83	54	89	0.21549144020112532	0.3551618181092621	47	46	0.2320643855231324	0.22712684540561892	28	29	0.18305439330543932	0.18959205020920503	38	47	0.2222222222222222	0.27485380116959063
84	474	378	1.8915359750987668	1.5084400814078776	333	366	1.6442008591319803	1.8071396830099247	231	212	1.5101987447698746	1.3859832635983262	169	200	0.9883040935672515	1.1695906432748537
85	91	144	0.3631429825611557	0.5746438405363342	76	138	0.37525304893102257	0.6813805362168568	149	116	0.9741108786610879	0.7583682008368201	82	130	0.47953216374269003	0.7602339181286549
86	143	163	0.5706532583103875	0.6504649028293228	86	127	0.42462845010615713	0.6270675949242087	142	121	0.928347280334728	0.7910564853556487	95	146	0.5555555555555556	0.8538011695906433
